run_id,step,op,args,position,crop,money_before,money_after,tile_before,tile_after,shed_before_qty,shed_after_qty,outcome
,117,WEST,(),"(1, 1)",MELON,995.0,995.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}",0,0,OBSERVED
,118,SOUTH,(),"(0, 1)",MELON,995.0,995.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}",0,0,OBSERVED
,119,WATER,(),"(0, 2)",MELON,995.0,995.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}",0,0,NO_EFFECT
,120,WATER,(),"(4, 4)",MELON,995.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,121,NORTH,(),"(4, 4)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
,122,WATER,(),"(4, 3)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,123,NORTH,(),"(4, 3)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
,124,WATER,(),"(4, 2)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,125,NORTH,(),"(4, 2)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
,126,WATER,(),"(4, 1)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,127,NORTH,(),"(4, 1)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
,128,WATER,(),"(4, 0)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,129,WEST,(),"(4, 0)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
,130,WATER,(),"(3, 0)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,131,WEST,(),"(3, 0)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
,132,WATER,(),"(2, 0)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,133,WEST,(),"(2, 0)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
,134,WATER,(),"(1, 0)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,135,WEST,(),"(1, 0)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
,136,WATER,(),"(0, 0)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,137,SOUTH,(),"(0, 0)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
,138,WATER,(),"(0, 1)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}",0,0,WATERED
,139,EAST,(),"(0, 1)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}",0,0,OBSERVED
,140,WATER,(),"(1, 1)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}",0,0,WATERED
,141,WEST,(),"(1, 1)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}",0,0,OBSERVED
,142,SOUTH,(),"(0, 1)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}",0,0,OBSERVED
,143,WATER,(),"(0, 2)",MELON,994.0,994.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}",0,0,NO_EFFECT
,144,WATER,(),"(4, 4)",MELON,994.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,145,NORTH,(),"(4, 4)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
,146,WATER,(),"(4, 3)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,147,NORTH,(),"(4, 3)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
,148,WATER,(),"(4, 2)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,149,NORTH,(),"(4, 2)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
,150,WATER,(),"(4, 1)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,151,NORTH,(),"(4, 1)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
,152,WATER,(),"(4, 0)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,153,WEST,(),"(4, 0)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
,154,WATER,(),"(3, 0)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,155,WEST,(),"(3, 0)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
,156,WATER,(),"(2, 0)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,157,WEST,(),"(2, 0)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
,158,WATER,(),"(1, 0)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,159,WEST,(),"(1, 0)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
,160,WATER,(),"(0, 0)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,161,SOUTH,(),"(0, 0)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
,162,WATER,(),"(0, 1)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}",0,0,WATERED
,163,EAST,(),"(0, 1)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}",0,0,OBSERVED
,164,WATER,(),"(1, 1)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}",0,0,WATERED
,165,WEST,(),"(1, 1)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}",0,0,OBSERVED
,166,SOUTH,(),"(0, 1)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}",0,0,OBSERVED
,167,WATER,(),"(0, 2)",MELON,993.0,993.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 1, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 1, 'max_lifespan_step': 336, 'fertilized_until_day': -1}",0,0,NO_EFFECT
,168,WATER,(),"(4, 4)",MELON,993.0,992.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 3, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,169,NORTH,(),"(4, 4)",MELON,992.0,992.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 3, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 3, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
,170,WATER,(),"(4, 3)",MELON,992.0,992.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 3, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,171,NORTH,(),"(4, 3)",MELON,992.0,992.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 3, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 3, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
,172,WATER,(),"(4, 2)",MELON,992.0,992.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 3, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,173,NORTH,(),"(4, 2)",MELON,992.0,992.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 3, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 3, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
,174,WATER,(),"(4, 1)",MELON,992.0,992.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': False, 'consecutive_unwatered': 0, 'yield_units': 2, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 3, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,WATERED
,175,NORTH,(),"(4, 1)",MELON,992.0,992.0,"{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 3, 'max_lifespan_step': 312, 'fertilized_until_day': -1}","{'kind': 'PLANT', 'crop': 'MELON', 'planted_day': 0, 'watered_today': True, 'consecutive_unwatered': 0, 'yield_units': 3, 'max_lifespan_step': 312, 'fertilized_until_day': -1}",0,0,OBSERVED
